Platform;Year;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
2600;1980.0;105900000.0;6700000.0;0.0;0.12;113799999.99999999
2600;1981.0;334000000.0;19600000.0;0.0;0.32;471500000.0
2600;1982.0;269200000.0;16500000.0;0.0;0.31;760100000.0
2600;1983.0;54400000.0;3400000.0;0.0;0.06;818400000.0
2600;1984.0;2600000.0;100000.0;0.0;0.0;821100000.0
2600;1985.0;4200000.0;300000.0;0.0;0.0;825600000.0
2600;1986.0;6300000.0;400000.0;0.0;0.0;832200000.0
2600;1987.0;18400000.0;900000.0;0.0;0.01;852000000.0
2600;1988.0;6900000.0;400000.0;0.0;0.01;859500000.0
2600;1989.0;5900000.0;300000.0;0.0;0.01;865700000.0
3DO;1994.0;0.0;0.0;200000.0;0.0;865900000.0
3DO;1995.0;0.0;0.0;800000.0;0.0;866700000.0
3DS;2011.0;269800000.0;184200000.0;128000000.0;4.38;1492000000.0
3DS;2012.0;170400000.0;115900000.0;199200000.0;2.55;2003400000.0
3DS;2013.0;153300000.0;143400000.0;235200000.0;2.67;2562200000.0
3DS;2014.0;120300000.00000001;86100000.0;206400000.0;1.84;2993600000.0
3DS;2015.0;58200000.0;47700000.0;153900000.0;0.99;3263500000.0
3DS;2016.0;8300000.0;5700000.0;50300000.0;0.12;3329500000.0
DC;1998.0;12600000.0;6100000.0;14300000.0;0.08;3363400000.0
DC;1999.0;16400000.000000002;2900000.0;31700000.0;0.060000000000000005;3415100000.0
DC;2000.0;25300000.0;7900000.0;25400000.0;0.13;3475000000.0
DC;2001.0;0.0;0.0;10700000.0;0.0;3485700000.0
DC;2002.0;0.0;0.0;2900000.0;0.0;3488600000.0
DC;2007.0;0.0;0.0;200000.0;0.0;3488800000.0
DC;2008.0;0.0;0.0;400000.0;0.0;3489200000.0
DS;1985.0;0.0;0.0;200000.0;0.0;3489400000.0
DS;2004.0;84200000.0;39700000.0;36500000.0;1.3699999999999999;3664000000.0
DS;2005.0;484700000.0;420600000.0;298600000.0;10.91;4978000000.0
DS;2006.0;506300000.0;235300000.0;385600000.0;8.28;6189500000.0
DS;2007.0;763600000.0;345800000.0;268100000.0;11.27;7683100000.0
DS;2008.0;794000000.0;330500000.0;240100000.0;11.16;9162000000.0
DS;2009.0;624100000.0;265200000.0;242100000.0;8.73;10381900000.0
DS;2010.0;423600000.0;200700000.0;198600000.0;5.73;11261700000.0
DS;2011.0;152900000.0;61800000.0;43200000.0;2.02;11539700000.0
DS;2012.0;42100000.0;30400000.0;37200000.0;0.63;11656100000.0
DS;2013.0;7200000.000000001;10700000.0;0.0;0.17;11675700000.0
DS;2014.0;200000.0;0.0;0.0;0.0;11675900000.0
DS;2020.0;2700000.0;0.0;0.0;0.02;11678800000.0
GB;1988.0;8199999.999999999;2300000.0;3500000.0;0.03;11693100000.0
GB;1989.0;398100000.0;76000000.0;161600000.0;1.4;12342900000.0
GB;1990.0;22400000.0;8900000.0;13300000.0;0.43000000000000005;12391800000.0
GB;1991.0;14300000.0;6800000.0;33800000.0;0.08;12447500000.0
GB;1992.0;131000000.0;42400000.0;75100000.0;0.64;12702300000.0
GB;1994.0;60300000.0;23600000.0;31900000.0;0.6000000000000001;12824000000.0
GB;1995.0;6899999.999999999;1400000.0000000002;27200000.0;0.05;12860000000.0
GB;1996.0;126600000.0;93700000.0;129100000.0;1.09;13220200000.0
GB;1997.0;20900000.0;9000000.0;32600000.0;0.12;13283900000.0
GB;1998.0;94400000.0;70000000.0;95500000.0;0.91;13552900000.0
GB;1999.0;162100000.0;89100000.0;117500000.0;1.13;13933000000.0
GB;2000.0;63900000.0;35200000.0;83600000.0;1.49;14130600000.0
GB;2001.0;27300000.0;16700000.0;46500000.0;0.19;14223000000.0
GBA;2000.0;500000.0;200000.0;0.0;0.0;14223600000.0
GBA;2001.0;362400000.0;159200000.0;74600000.0;1.9100000000000001;14839800000.0
GBA;2002.0;430200000.0;171200000.0;122100000.0;1.81;15583600000.0
GBA;2003.0;335300000.0;131900000.0;85900000.0;1.36;16150900000.0
GBA;2004.0;444300000.0;181500000.0;135200000.0;1.81;16931800000.0
GBA;2005.0;217000000.0;83100000.0;32700000.0;0.58;17270800000.0
GBA;2006.0;27000000.0;9800000.0;15100000.0;0.09;17324300000.0
GBA;2007.0;24500000.0;9000000.0;0.0;0.05;17358600000.0
GC;2001.0;169100000.0;48000000.0;38500000.0;0.78;17621600000.0
GC;2002.0;347100000.0;104900000.0;52800000.0;1.33;18140900000.0
GC;2003.0;326400000.0;102300000.0;64300000.0;1.31;18647500000.0
GC;2004.0;197100000.0;53300000.0;30000000.0;0.78;18936400000.0
GC;2005.0;192500000.0;51300000.0;25700000.0;0.67;19214400000.0
GC;2006.0;85100000.0;22800000.0;2100000.0;0.26;19327300000.0
GC;2007.0;2100000.0;600000.0;0.0;0.0;19330000000.0
